avaliacao,nota,sentimento
"Chegou antes do prazo, o atendimento é ótimo.",5,positivo
"Voltarei a comprar, o produto é excelente.",4,positivo
"A entrega é horrível, veio com defeito.",5,positivo
"A embalagem é muito bom, entrega rápida.",4,positivo
"O atendimento é maravilhoso, valeu o preço.",5,positivo
"Razoável pelo preço, mediano.",3,neutro
"Entrega rápida, o atendimento é ótimo.",4,positivo
"Voltarei a comprar, o atendimento é incrível.",4,positivo
"O atendimento é incrível, recomendo, apesar de um arranhão na caixa.",4,positivo
"Cumpre o que promete, é ok.",3,neutro
"O produto é ótimo, boa qualidade.",4,positivo
É ok.,3,neutro
"Chegou quebrado, o pedido é fraco.",1,negativo
"A entrega é ótimo, chegou antes do prazo.",4,positivo
"Superou as expectativas, a entrega é muito bom.",4,positivo
"Chegou quebrado, o atendimento é ruim.",5,positivo
"Mas a entrega demorou um pouco, o pedido é maravilhoso, valeu o preço.",5,positivo
"Chegou quebrado, o produto é decepcionante.",2,negativo
"O pedido é péssimo, chegou quebrado.",1,negativo
"Comum, sem destaque, comum, sem destaque.",3,neutro
"A embalagem é péssimo, tive problema na troca.",2,negativo
"A embalagem é perfeito, chegou antes do prazo.",5,positivo
"A entrega é frustrante, demorou para chegar.",2,negativo
Mediano.,3,neutro
"O pedido é impecável, superou as expectativas.",5,positivo
É ok.,3,neutro
"O pedido é impecável, voltarei a comprar.",4,positivo
"Voltarei a comprar, o pedido é excelente.",4,positivo
"Não recomendo, a compra é decepcionante.",1,negativo
"Entrega rápida, a compra é ótimo.",5,positivo
"Tive problema na troca, o atendimento é frustrante.",2,negativo
"Voltarei a comprar, o pedido é bacana.",4,positivo
"Tive problema na troca, o pedido é frustrante.",1,negativo
"Valeu o preço, o produto é excelente.",5,positivo
"Não recomendo, o pedido é fraco.",1,negativo
"Atende ao básico, comum, sem destaque.",3,neutro
"Chegou antes do prazo, o atendimento é muito bom.",5,positivo
"O produto é maravilhoso, voltarei a comprar.",5,positivo
"A compra é frustrante, abaixo do esperado.",1,negativo
"Apesar de um arranhão na caixa, o produto é muito bom, voltarei a comprar.",5,positivo
"Veio com defeito, a embalagem é frustrante, mas o atendimento tentou ajudar.",5,positivo
"Dentro do esperado, mediano.",4,positivo
"A compra é decepcionante, demorou para chegar, mas o atendimento tentou ajudar.",2,negativo
"Entrega rápida, a compra é bacana.",5,positivo
"Mediano, comum, sem destaque.",3,neutro
"A compra é excelente, valeu o preço.",4,positivo
"Veio com defeito, a embalagem é ruim.",1,negativo
"A compra é muito bom, entrega rápida.",5,positivo
"Atende ao básico, mediano.",3,neutro
"Comum, sem destaque, recomendo, comum, sem destaque.",3,neutro
"Cumpre o que promete, recomendo.",1,negativo
"Tive problema na troca, porém chegou rápido, a compra é decepcionante.",2,negativo
"Atendimento atencioso, a embalagem é ótimo, apesar de um arranhão na caixa.",4,positivo
"A embalagem é perfeito, recomendo.",5,positivo
Atende ao básico.,3,neutro
"Só achei meio caro, o pedido é incrível, valeu o preço.",4,positivo
"Superou as expectativas, a compra é perfeito.",4,positivo
"Boa qualidade, a entrega é ótimo, mas a entrega demorou um pouco.",4,positivo
"A embalagem é excelente, superou as expectativas.",4,positivo
"Esperava mais mas serve, tive problema na troca, cumpre o que promete.",3,neutro
"Mas o atendimento tentou ajudar, a entrega é decepcionante, chegou quebrado.",2,negativo
"O atendimento é muito bom, recomendo.",5,positivo
"Abaixo do esperado, o atendimento é frustrante.",2,negativo
"A entrega é perfeito, voltarei a comprar.",5,positivo
"Veio com defeito, a entrega é horrível.",1,negativo
"Abaixo do esperado, a entrega é frustrante.",1,negativo
"Razoável pelo preço, comum, sem destaque.",3,neutro
"A embalagem é péssimo, não recomendo.",2,negativo
"A compra é incrível, superou as expectativas.",4,positivo
"A embalagem é ruim, porém chegou rápido, não recomendo.",2,negativo
"A embalagem é maravilhoso, só achei meio caro, superou as expectativas.",5,positivo
"O atendimento é ótimo, chegou antes do prazo.",5,positivo
"Abaixo do esperado, a entrega é frustrante.",1,negativo
"O produto é bacana, chegou antes do prazo, mas a entrega demorou um pouco.",5,positivo
Mediano.,5,positivo
"A compra é muito bom, superou as expectativas.",4,positivo
"Apesar de um arranhão na caixa, o produto é bacana, atendimento atencioso.",4,positivo
"Atende ao básico, dentro do esperado, voltarei a comprar.",3,neutro
"A embalagem é péssimo, veio com defeito.",1,negativo
Mediano.,5,positivo
"Veio com defeito, a compra é frustrante.",2,negativo
"Não recomendo, a embalagem é horrível.",2,negativo
"Comum, sem destaque, não recomendo.",4,positivo
"Entrega rápida, o produto é incrível.",4,positivo
"Voltarei a comprar, dentro do esperado.",5,positivo
"Chegou antes do prazo, dentro do esperado, cumpre o que promete.",3,neutro
"É ok, comum, sem destaque.",5,positivo
"Chegou antes do prazo, a embalagem é ótimo.",5,positivo
"Valeu o preço, o atendimento é bacana, apesar de um arranhão na caixa.",5,positivo
"A compra é frustrante, poderia ser melhor, ainda assim a embalagem era bonita.",1,negativo
Razoável pelo preço.,3,neutro
"A embalagem é impecável, recomendo.",4,positivo
"Esperava mais mas serve, mediano, boa qualidade.",3,neutro
"O produto é incrível, voltarei a comprar.",4,positivo
"O produto é bacana, recomendo, só achei meio caro.",5,positivo
"Esperava mais mas serve, atendimento atencioso, é ok.",3,neutro
"Demorou para chegar, a compra é péssimo.",1,negativo
"Chegou antes do prazo, a entrega é ótimo.",5,positivo
"Atendimento atencioso, a entrega é incrível.",5,positivo
"Apesar de um arranhão na caixa, a entrega é incrível, voltarei a comprar.",5,positivo
"Boa qualidade, a embalagem é ótimo.",4,positivo
"Demorou para chegar, a compra é decepcionante.",2,negativo
"O atendimento é maravilhoso, valeu o preço, só achei meio caro.",4,positivo
"Esperava mais mas serve, cumpre o que promete.",3,neutro
"Valeu o preço, a entrega é maravilhoso.",4,positivo
"Demorou para chegar, o atendimento é ruim.",1,negativo
"A embalagem é perfeito, recomendo.",4,positivo
"O produto é perfeito, atendimento atencioso, apesar de um arranhão na caixa.",5,positivo
"Valeu o preço, o pedido é maravilhoso.",5,positivo
"Esperava mais mas serve, comum, sem destaque.",3,neutro
"A entrega é bacana, atendimento atencioso.",5,positivo
"A entrega é impecável, entrega rápida.",5,positivo
"A compra é incrível, apesar de um arranhão na caixa, entrega rápida.",4,positivo
"O pedido é ótimo, boa qualidade.",4,positivo
"Razoável pelo preço, mediano.",3,neutro
"O atendimento é frustrante, chegou quebrado.",1,negativo
"Voltarei a comprar, o produto é impecável.",5,positivo
"A embalagem é ruim, porém chegou rápido, abaixo do esperado.",1,negativo
"O atendimento é ruim, poderia ser melhor.",5,positivo
"Ainda assim a embalagem era bonita, demorou para chegar, a compra é ruim.",1,negativo
"Superou as expectativas, a entrega é impecável.",4,positivo
"O pedido é ótimo, recomendo.",5,positivo
"Mediano, mediano.",3,neutro
"Superou as expectativas, o atendimento é bacana.",5,positivo
"Comum, sem destaque.",3,neutro
"Entrega rápida, a compra é bacana, apesar de um arranhão na caixa.",4,positivo
"O atendimento é incrível, atendimento atencioso.",4,positivo
"Valeu o preço, o pedido é incrível.",4,positivo
"O pedido é bacana, chegou antes do prazo.",5,positivo
"A embalagem é maravilhoso, superou as expectativas.",4,positivo
"Esperava mais mas serve, atendimento atencioso.",3,neutro
"Atendimento atencioso, o atendimento é maravilhoso.",5,positivo
"Voltarei a comprar, a compra é maravilhoso.",4,positivo
"O atendimento é perfeito, entrega rápida.",5,positivo
Mediano.,3,neutro
"O produto é ótimo, chegou antes do prazo, apesar de um arranhão na caixa.",5,positivo
"A compra é excelente, entrega rápida.",5,positivo
"Voltarei a comprar, a compra é muito bom.",5,positivo
"A entrega é ótimo, superou as expectativas.",5,positivo
"Mas o atendimento tentou ajudar, não recomendo, o atendimento é horrível.",2,negativo
"Valeu o preço, o atendimento é incrível.",5,positivo
"A embalagem é excelente, superou as expectativas.",5,positivo
"Esperava mais mas serve, não recomendo.",3,neutro
"Chegou antes do prazo, a entrega é incrível, mas a entrega demorou um pouco.",4,positivo
"Boa qualidade, o pedido é perfeito.",2,negativo
"Esperava mais mas serve, cumpre o que promete.",3,neutro
"A embalagem é fraco, demorou para chegar.",1,negativo
"O atendimento é ruim, abaixo do esperado.",1,negativo
"Comum, sem destaque.",3,neutro
"O pedido é horrível, poderia ser melhor.",1,negativo
"O pedido é fraco, tive problema na troca.",2,negativo
"Dentro do esperado, razoável pelo preço.",3,neutro
"Superou as expectativas, a embalagem é excelente.",5,positivo
"O produto é decepcionante, demorou para chegar.",1,negativo
"Razoável pelo preço, chegou antes do prazo, mediano.",3,neutro
É ok.,3,neutro
"Abaixo do esperado, a embalagem é horrível, ainda assim a embalagem era bonita.",1,negativo
É ok.,3,neutro
"Superou as expectativas, a compra é impecável.",5,positivo
"Cumpre o que promete, superou as expectativas.",3,neutro
"Recomendo, apesar de um arranhão na caixa, a compra é ótimo.",4,positivo
"Mas a entrega demorou um pouco, a embalagem é excelente, voltarei a comprar.",5,positivo
É ok.,3,neutro
"Mediano, mediano.",3,neutro
"O produto é frustrante, abaixo do esperado.",1,negativo
"O atendimento é ótimo, valeu o preço.",4,positivo
"É ok, superou as expectativas.",3,neutro
"Veio com defeito, o produto é frustrante.",2,negativo
"O atendimento é incrível, superou as expectativas.",4,positivo
"Só achei meio caro, a embalagem é perfeito, superou as expectativas.",4,positivo
"A compra é muito bom, valeu o preço.",5,positivo
"A embalagem é fraco, não recomendo.",1,negativo
"Entrega rápida, o pedido é maravilhoso.",4,positivo
Dentro do esperado.,3,neutro
"Voltarei a comprar, a entrega é muito bom.",4,positivo
"Razoável pelo preço, esperava mais mas serve.",3,neutro
"Tive problema na troca, o atendimento é decepcionante.",4,positivo
"O atendimento é maravilhoso, chegou antes do prazo.",5,positivo
"Veio com defeito, a compra é fraco.",4,positivo
"Demorou para chegar, o atendimento é horrível.",1,negativo
"O atendimento é perfeito, atendimento atencioso.",3,neutro
"Atendimento atencioso, o produto é maravilhoso.",4,positivo
"Esperava mais mas serve, atende ao básico, abaixo do esperado.",3,neutro
"Recomendo, o atendimento é incrível.",4,positivo
"A entrega é ruim, poderia ser melhor.",1,negativo
"Demorou para chegar, o pedido é frustrante.",2,negativo
"A compra é excelente, voltarei a comprar.",4,positivo
"Chegou antes do prazo, a entrega é incrível.",4,positivo
"É ok, demorou para chegar.",3,neutro
"Só achei meio caro, chegou antes do prazo, a entrega é impecável.",5,positivo
Dentro do esperado.,3,neutro
"O pedido é bacana, superou as expectativas.",5,positivo
"O pedido é decepcionante, não recomendo.",5,positivo
"O atendimento é muito bom, voltarei a comprar, apesar de um arranhão na caixa.",5,positivo
"A embalagem é muito bom, voltarei a comprar.",4,positivo
"Atendimento atencioso, o produto é maravilhoso.",5,positivo
"Entrega rápida, a entrega é perfeito, mas a entrega demorou um pouco.",5,positivo
"A embalagem é horrível, tive problema na troca.",2,negativo
"A embalagem é incrível, recomendo.",4,positivo
"Chegou antes do prazo, o atendimento é impecável.",4,positivo
"Demorou para chegar, a compra é horrível.",1,negativo
"Porém chegou rápido, o pedido é decepcionante, poderia ser melhor.",1,negativo
"Recomendo, comum, sem destaque, é ok.",3,neutro
"O produto é bacana, chegou antes do prazo.",5,positivo
"O pedido é decepcionante, veio com defeito.",2,negativo
"O produto é bacana, superou as expectativas.",5,positivo
"Veio com defeito, a compra é decepcionante.",1,negativo
"A entrega é ruim, tive problema na troca.",2,negativo
"A compra é maravilhoso, boa qualidade.",4,positivo
"Abaixo do esperado, o atendimento é péssimo.",5,positivo
"Mas a entrega demorou um pouco, atendimento atencioso, o atendimento é perfeito.",5,positivo
"A compra é péssimo, poderia ser melhor.",5,positivo
"Valeu o preço, a embalagem é incrível.",5,positivo
"Voltarei a comprar, a compra é excelente.",4,positivo
"Recomendo, o pedido é excelente.",5,positivo
"O pedido é excelente, superou as expectativas.",5,positivo
Mediano.,3,neutro
Mediano.,3,neutro
"A compra é decepcionante, abaixo do esperado.",2,negativo
"Não recomendo, o pedido é ruim.",4,positivo
"Atendimento atencioso, a compra é ótimo.",5,positivo
"O produto é incrível, só achei meio caro, valeu o preço.",4,positivo
"Esperava mais mas serve, cumpre o que promete.",3,neutro
Esperava mais mas serve.,5,positivo
"A compra é decepcionante, tive problema na troca.",1,negativo
"A entrega é impecável, boa qualidade.",5,positivo
"O produto é excelente, valeu o preço.",5,positivo
"Chegou antes do prazo, a embalagem é excelente.",5,positivo
"Ainda assim a embalagem era bonita, a compra é decepcionante, abaixo do esperado.",2,negativo
"O atendimento é decepcionante, demorou para chegar, ainda assim a embalagem era bonita.",5,positivo
"Entrega rápida, a compra é excelente.",4,positivo
"A embalagem é decepcionante, demorou para chegar.",4,positivo
"Atendimento atencioso, mas a entrega demorou um pouco, a entrega é ótimo.",4,positivo
"A entrega é ruim, tive problema na troca.",2,negativo
"O atendimento é incrível, boa qualidade.",5,positivo
"Veio com defeito, a entrega é decepcionante.",1,negativo
"A embalagem é frustrante, poderia ser melhor.",1,negativo
"O produto é ótimo, voltarei a comprar.",4,positivo
Dentro do esperado.,3,neutro
"A embalagem é muito bom, valeu o preço.",5,positivo
Esperava mais mas serve.,3,neutro
"A compra é bacana, boa qualidade.",4,positivo
"Veio com defeito, é ok.",1,negativo
"Poderia ser melhor, o pedido é frustrante.",1,negativo
"O atendimento é frustrante, abaixo do esperado.",5,positivo
"Voltarei a comprar, o atendimento é muito bom.",5,positivo
"Valeu o preço, o pedido é impecável.",4,positivo
"Boa qualidade, a compra é muito bom.",5,positivo
Cumpre o que promete.,3,neutro
"A entrega é ruim, mas o atendimento tentou ajudar, veio com defeito.",2,negativo
"Razoável pelo preço, é ok.",4,positivo
"Entrega rápida, a entrega é muito bom.",2,negativo
"O atendimento é ótimo, chegou antes do prazo.",5,positivo
"A entrega é ótimo, chegou antes do prazo, mas a entrega demorou um pouco.",4,positivo
"Cumpre o que promete, é ok.",4,positivo
"O produto é ótimo, voltarei a comprar.",4,positivo
"Demorou para chegar, a entrega é péssimo.",1,negativo
"É ok, comum, sem destaque, boa qualidade.",3,neutro
"Razoável pelo preço, dentro do esperado.",3,neutro
"A entrega é decepcionante, chegou quebrado.",1,negativo
"A entrega é ótimo, recomendo.",5,positivo
"Chegou antes do prazo, o produto é bacana.",5,positivo
"Valeu o preço, a embalagem é muito bom.",5,positivo
"Veio com defeito, a compra é ruim.",2,negativo
"O produto é impecável, só achei meio caro, valeu o preço.",4,positivo
"Abaixo do esperado, o atendimento é horrível.",1,negativo
"Superou as expectativas, mediano, dentro do esperado.",3,neutro
"Abaixo do esperado, o produto é horrível.",4,positivo
"Chegou antes do prazo, o produto é perfeito.",4,positivo
"Atendimento atencioso, a entrega é maravilhoso.",5,positivo
"Chegou quebrado, a embalagem é decepcionante.",1,negativo
"O atendimento é ótimo, voltarei a comprar.",5,positivo
"Recomendo, o pedido é ótimo.",5,positivo
"Superou as expectativas, o produto é incrível.",4,positivo
"Voltarei a comprar, o atendimento é impecável.",4,positivo
"O produto é maravilhoso, voltarei a comprar.",5,positivo
"A entrega é excelente, atendimento atencioso.",4,positivo
"A compra é fraco, chegou quebrado.",1,negativo
"Cumpre o que promete, cumpre o que promete.",4,positivo
"Superou as expectativas, a entrega é perfeito.",4,positivo
"A compra é perfeito, boa qualidade.",5,positivo
"Esperava mais mas serve, comum, sem destaque.",3,neutro
"Comum, sem destaque, dentro do esperado.",3,neutro
"A embalagem é ótimo, atendimento atencioso.",5,positivo
"A entrega é frustrante, abaixo do esperado.",5,positivo
"É ok, razoável pelo preço.",3,neutro
"O produto é ruim, poderia ser melhor.",1,negativo
"A compra é ruim, demorou para chegar.",1,negativo
"O produto é maravilhoso, superou as expectativas.",5,positivo
"O atendimento é decepcionante, não recomendo.",1,negativo
"Mas o atendimento tentou ajudar, o pedido é fraco, demorou para chegar.",1,negativo
"Poderia ser melhor, a embalagem é fraco.",2,negativo
"O produto é ruim, poderia ser melhor.",3,neutro
"Recomendo, o pedido é excelente.",4,positivo
"Superou as expectativas, o pedido é impecável.",5,positivo
"A embalagem é maravilhoso, recomendo.",5,positivo
"Dentro do esperado, demorou para chegar, mediano.",4,positivo
"A compra é impecável, apesar de um arranhão na caixa, voltarei a comprar.",4,positivo
"A entrega é maravilhoso, boa qualidade, só achei meio caro.",4,positivo
"O pedido é horrível, não recomendo.",1,negativo
"Valeu o preço, comum, sem destaque.",3,neutro
É ok.,3,neutro
"O atendimento é frustrante, não recomendo.",1,negativo
"Comum, sem destaque.",3,neutro
Mediano.,3,neutro
"Chegou quebrado, o produto é fraco.",1,negativo
"Valeu o preço, o produto é incrível.",5,positivo
"Esperava mais mas serve, mediano.",4,positivo
"A entrega é horrível, chegou quebrado.",1,negativo
"Demorou para chegar, o atendimento é frustrante.",2,negativo
"Mediano, atende ao básico.",3,neutro
"Apesar de um arranhão na caixa, o pedido é muito bom, superou as expectativas.",4,positivo
"É ok, razoável pelo preço.",3,neutro
"A entrega é impecável, mas a entrega demorou um pouco, entrega rápida.",4,positivo
"Valeu o preço, a compra é excelente.",5,positivo
"O pedido é ruim, abaixo do esperado.",1,negativo
"O atendimento é incrível, valeu o preço.",5,positivo
"Superou as expectativas, o pedido é maravilhoso.",4,positivo
"Tive problema na troca, a embalagem é decepcionante.",2,negativo
"A embalagem é muito bom, apesar de um arranhão na caixa, chegou antes do prazo.",5,positivo
"O pedido é excelente, entrega rápida.",4,positivo
"Atendimento atencioso, a compra é muito bom.",4,positivo
"Apesar de um arranhão na caixa, chegou antes do prazo, a embalagem é excelente.",2,negativo
"Veio com defeito, o produto é péssimo.",3,neutro
"Poderia ser melhor, o atendimento é frustrante.",1,negativo
"O produto é ótimo, chegou antes do prazo.",4,positivo
"Poderia ser melhor, o atendimento é fraco.",1,negativo
"Recomendo, o pedido é muito bom.",4,positivo
"O produto é incrível, superou as expectativas.",4,positivo
Razoável pelo preço.,5,positivo
"Abaixo do esperado, o pedido é frustrante.",2,negativo
"Comum, sem destaque.",3,neutro
"Mas a entrega demorou um pouco, a entrega é incrível, superou as expectativas.",4,positivo
"Valeu o preço, o atendimento é ótimo.",4,positivo
"Entrega rápida, o pedido é impecável.",5,positivo
"O pedido é ótimo, mas a entrega demorou um pouco, voltarei a comprar.",3,neutro
"O produto é horrível, abaixo do esperado.",4,positivo
É ok.,3,neutro
"Veio com defeito, a entrega é fraco.",1,negativo
"Voltarei a comprar, a embalagem é bacana.",5,positivo
"Atendimento atencioso, o pedido é incrível.",5,positivo
"A embalagem é impecável, chegou antes do prazo.",4,positivo
"Poderia ser melhor, o atendimento é péssimo.",2,negativo
"A embalagem é perfeito, chegou antes do prazo, só achei meio caro.",5,positivo
"Veio com defeito, a entrega é péssimo.",2,negativo
"Mas a entrega demorou um pouco, voltarei a comprar, a embalagem é muito bom.",4,positivo
Mediano.,5,positivo
"Valeu o preço, a compra é muito bom.",5,positivo
"A compra é muito bom, superou as expectativas.",5,positivo
"A embalagem é maravilhoso, voltarei a comprar.",5,positivo
"Recomendo, a compra é impecável.",5,positivo
"A compra é ótimo, superou as expectativas.",4,positivo
"Abaixo do esperado, a embalagem é fraco, porém chegou rápido.",1,negativo
"Veio com defeito, a embalagem é horrível.",5,positivo
"Demorou para chegar, a embalagem é fraco, porém chegou rápido.",2,negativo
"Superou as expectativas, o produto é muito bom.",5,positivo
"A entrega é muito bom, chegou antes do prazo, apesar de um arranhão na caixa.",5,positivo
"O pedido é péssimo, tive problema na troca.",4,positivo
"O pedido é incrível, recomendo.",5,positivo
"A embalagem é decepcionante, chegou quebrado.",2,negativo
"O pedido é bacana, valeu o preço.",5,positivo
"Boa qualidade, a entrega é perfeito.",5,positivo
"A compra é frustrante, abaixo do esperado, mas o atendimento tentou ajudar.",2,negativo
"Apesar de um arranhão na caixa, boa qualidade, a embalagem é ótimo.",5,positivo
"Poderia ser melhor, o atendimento é ruim.",1,negativo
"A entrega é muito bom, chegou antes do prazo.",4,positivo
"O produto é excelente, atendimento atencioso.",4,positivo
"Chegou antes do prazo, o pedido é excelente.",3,neutro
"A entrega é fraco, veio com defeito.",3,neutro
"Boa qualidade, mediano, mediano.",3,neutro
"O produto é fraco, demorou para chegar.",3,neutro
"A entrega é incrível, boa qualidade.",5,positivo
"Não recomendo, o produto é horrível.",2,negativo
"O pedido é incrível, boa qualidade.",4,positivo
Atende ao básico.,5,positivo
"Demorou para chegar, a compra é horrível, mas o atendimento tentou ajudar.",1,negativo
Cumpre o que promete.,3,neutro
"Mas o atendimento tentou ajudar, o produto é horrível, poderia ser melhor.",1,negativo
"Abaixo do esperado, a compra é ruim.",1,negativo
"A embalagem é ótimo, valeu o preço.",4,positivo
"Demorou para chegar, a compra é ruim.",1,negativo
"Voltarei a comprar, a compra é impecável.",4,positivo
"É ok, dentro do esperado.",5,positivo
"O produto é péssimo, abaixo do esperado.",2,negativo
"Comum, sem destaque, comum, sem destaque.",3,neutro
"Tive problema na troca, a embalagem é frustrante, ainda assim a embalagem era bonita.",2,negativo
"O produto é ótimo, apesar de um arranhão na caixa, entrega rápida.",5,positivo
"A embalagem é bacana, superou as expectativas.",5,positivo
Esperava mais mas serve.,2,negativo
"Mas a entrega demorou um pouco, a embalagem é perfeito, superou as expectativas.",4,positivo
"A entrega é decepcionante, veio com defeito.",2,negativo
"A entrega é incrível, voltarei a comprar.",4,positivo
"Atende ao básico, é ok.",3,neutro
"A entrega é maravilhoso, valeu o preço.",5,positivo
"Recomendo, a embalagem é excelente.",5,positivo
"A compra é impecável, entrega rápida, mas a entrega demorou um pouco.",5,positivo
"A entrega é excelente, voltarei a comprar.",5,positivo
"A embalagem é impecável, recomendo.",4,positivo
"O atendimento é maravilhoso, valeu o preço.",4,positivo
"O atendimento é bacana, boa qualidade, apesar de um arranhão na caixa.",5,positivo
"Cumpre o que promete, comum, sem destaque.",5,positivo
"O pedido é maravilhoso, entrega rápida.",5,positivo
"Voltarei a comprar, a compra é maravilhoso, só achei meio caro.",5,positivo
"Boa qualidade, a entrega é ótimo.",5,positivo
"O atendimento é maravilhoso, atendimento atencioso.",4,positivo
"O pedido é maravilhoso, superou as expectativas.",5,positivo
"O produto é excelente, entrega rápida.",5,positivo
"Atende ao básico, dentro do esperado.",3,neutro
"Superou as expectativas, a entrega é perfeito.",4,positivo
"Superou as expectativas, o atendimento é perfeito.",4,positivo
"O pedido é impecável, apesar de um arranhão na caixa, voltarei a comprar.",5,positivo
"Cumpre o que promete, dentro do esperado.",2,negativo
"A entrega é fraco, veio com defeito.",1,negativo
"O pedido é decepcionante, abaixo do esperado.",1,negativo
"Veio com defeito, a embalagem é horrível.",1,negativo
"Comum, sem destaque.",3,neutro
"Chegou antes do prazo, a embalagem é excelente.",4,positivo
"Mediano, dentro do esperado.",4,positivo
"Não recomendo, a compra é fraco.",2,negativo
"Apesar de um arranhão na caixa, o atendimento é excelente, atendimento atencioso.",4,positivo
"Entrega rápida, o atendimento é perfeito.",4,positivo
"O atendimento é horrível, tive problema na troca.",1,negativo
"Dentro do esperado, mediano.",3,neutro
"O pedido é maravilhoso, chegou antes do prazo.",4,positivo
"A compra é perfeito, atendimento atencioso.",5,positivo
"Superou as expectativas, a compra é excelente, mas a entrega demorou um pouco.",5,positivo
"Abaixo do esperado, a embalagem é fraco.",1,negativo
